,NOME_CEDENTE,VALOR_PRESENTE
ARC COM+RCIO DE AUTO PE¦AS LTDA,ARC COM+RCIO DE AUTO PE¦AS LTDA,2129724.020000001
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,745201.7099999993
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,5741455.620000002
VICKER ACESS+RIOS PARA MOLAS LTDA,VICKER ACESS+RIOS PARA MOLAS LTDA,1051282.7300000002
RODAROS INDUSTRIA DE RODAS LTDA,RODAROS INDUSTRIA DE RODAS LTDA,6051555.710000001
Foco Industria de Auto Peças e Comercio EIRELI,Foco Industria de Auto Peças e Comercio EIRELI,418523.4999999999
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,169576.77000000002
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,133335.4
FONTAINE INTERNACIONAL DO BRASIL S/A,FONTAINE INTERNACIONAL DO BRASIL S/A,14748.299999999997
DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,32718.9
BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,14768.1
