,Date,Cedentes Ativos,Sacados Ativos
0,20190902,9,492
1,20190903,9,484
2,20190904,9,480
3,20190905,9,475
4,20190906,9,471
5,20190909,9,462
6,20190910,9,451
7,20190911,9,443
8,20190912,10,462
9,20190913,10,463
10,20190916,10,462
11,20190917,10,463
12,20190918,10,464
13,20190919,10,460
14,20190920,10,460
15,20190923,10,451
16,20190924,11,457
17,20190925,11,456
18,20190926,11,455
19,20190927,11,451
20,20190930,11,456
21,20191001,11,459
22,20191002,11,460
23,20191003,12,467
24,20191004,12,472
25,20191007,12,463
26,20191008,12,469
27,20191231,10,295
28,20200116,11,302
29,20200131,10,274
30,20200205,10,257
