,Date,Maior_exposicao_cedente,Maior_exposicao_sacado
0,20190902,5513570.607803608,2413558.097803612
1,20190903,6414583.73,3191698.21
2,20190904,6414455.51,3191627.97
3,20190905,6414327.77,3191557.74
4,20190906,6414201.31,3191487.45
5,20190909,6414076.48,3191417.21
6,20190910,6356029.99,3191347.0
7,20190911,6482669.14,3191276.75
8,20190912,6575332.55,3191206.53
9,20190913,6872235.89,3191136.29
10,20190916,7350400.05,3191066.04
11,20190917,6690721.68,3190995.82
12,20190918,6692722.46,3190925.6
13,20190919,6798604.62,3190855.36
14,20190920,6776402.11,3190785.14
15,20190923,6920094.25,3190714.91
16,20190924,6862218.57,3190644.68
17,20190925,5835713.4810000025,2428601.481
18,20190926,5720757.051,2428601.481
19,20190927,5711880.128,2438682.458
20,20190930,6839810.077313358,2443738.627313362
21,20191001,6260605.187313357,2443738.627313362
22,20191002,6206462.6300083,2448805.2800082983
23,20191003,7025094.47,3190153.17
24,20191004,6936594.22,3190082.94
25,20191007,7003694.88,3190012.71
26,20191008,6318413.18165869,2474296.5516586923
27,20191231,5750696.900000001,3116254.71
28,20200116,5944606.4700000025,4804247.420000001
29,20200131,5551580.389999999,5698502.839999997
30,20200205,6051555.710000001,5894507.08
