,NOME_CEDENTE,VALOR_PRESENTE
ARC COM+RCIO DE AUTO PE¦AS LTDA,ARC COM+RCIO DE AUTO PE¦AS LTDA,3053947.0599999996
U BOLT IND+STRIA METAL+RGICA EIRELI EPP,U BOLT IND+STRIA METAL+RGICA EIRELI EPP,723282.1500000005
IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,IBERO RODARE IND+STRIA BRASILEIRA EQUIPA,5551580.389999999
VICKER ACESS+RIOS PARA MOLAS LTDA,VICKER ACESS+RIOS PARA MOLAS LTDA,945501.1899999997
RODAROS INDUSTRIA DE RODAS LTDA,RODAROS INDUSTRIA DE RODAS LTDA,5492859.6400000015
Foco Industria de Auto Peças e Comercio EIRELI,Foco Industria de Auto Peças e Comercio EIRELI,420402.5499999999
IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,IBERO IND BRASILEIRA DE EQUIP RODOVIARIO,208413.81999999995
ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,ENGATCAR IND+STRIA DE AUTOPE¦AS LTDA,149345.01
FONTAINE INTERNACIONAL DO BRASIL S/A,FONTAINE INTERNACIONAL DO BRASIL S/A,15866.08
DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,DELTAMAR ESTAMPARIA DE METAIS INDUSTRIA,32718.9
BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA,14699.03
