,Date,Maior_exposicao_cedente,Maior_exposicao_sacado
0,20191122,363035.2100000001,87231.07999999999
1,20191125,363751.27,87403.14
2,20191126,409549.29,87575.54
3,20191127,410353.2300000001,87748.26000000001
4,20191128,1021521.55,1021521.55
5,20191129,1022616.72,1022616.72
6,20191202,1023713.05,1023713.05
7,20191204,1025909.23,1025909.23
8,20191205,1027009.07,1027009.07
9,20191218,1874757.8,1874757.8
10,20191219,2532770.3000000003,2532770.3000000003
11,20191220,2536033.93,2536033.93
12,20191226,2545850.0900000003,2545850.0900000003
13,20191227,2549130.6,2549130.6
14,20191231,2424442.36,2424442.36
16,20200131,2626022.8999999994,1444721.5199999998
15,20200218,2734936.4000000004,1195893.0300000005
