Date,cota
20191121,1000.0
20191122,998.5
20191125,997.71606
20191126,996.98045
20191127,996.2805800000001
20191128,995.9750603
20191129,996.42107274
20191202,996.92963843
20191203,997.54110703
20191204,998.02828763
20191205,994.55917826
20191206,994.86862888
20191209,995.36188558
20191210,995.6287668
20191211,996.09099869
20191212,996.53475393
20191213,997.37084882
20191216,998.24076329
20191217,999.18852891
20191218,1000.16285419
20191219,1001.14392259
20191220,1002.24893065
20191223,1003.33428791
20191224,1004.49974958
20191226,1005.85746236
20191227,1006.99474576
20191230,1008.19550818
20191231,1009.08630296
20200102,1010.14201348
20200103,1011.58112186
20200106,1012.72335443
20200107,1013.84794387
20200108,1015.1642797000001
20200109,1016.37943291
20200110,1017.69947322
20200113,1016.32500222
20200114,1020.03714256
20200115,1021.18984911
20200116,1022.45866862
20200117,1023.17895472
20200120,1024.30107394
20200121,1022.75102859
20200122,1023.18969037
20200123,1025.32053089
20200124,1026.51502891
20200127,1027.69170981
20200128,1030.64224833
20200129,1035.74138828
20200130,1037.19360009
20200131,1038.64312749
20200203,1040.82642954
20200204,1042.27975768
20200205,1043.71401584
20200206,1045.47040625
20200207,1047.08548337
20200210,1049.81790236
20200211,1051.24743779
20200212,1051.83097099
20200213,1053.22658329
20200214,1054.90756856
20200217,1056.24842127
20200218,1057.63158907
20200219,1059.27698956
20200220,1060.96274338
20200221,1062.6881085
20200226,1062.39191599
20200227,1063.81629093
